condition,consent_key.keys,consent_key.rt,done_with_instructions.keys,done_with_instructions.rt,instr_loop.thisRepN,instr_loop.thisTrialN,instr_loop.thisN,instr_loop.thisIndex,instr_loop.ran,Student ID #,date,expName,psychopyVersion,OS,frameRate,instr_learning_key.keys,instr_learning_key.rt,card_gen_loop.thisRepN,card_gen_loop.thisTrialN,card_gen_loop.thisN,card_gen_loop.thisIndex,card_gen_loop.ran,swa,eng,choose_pile.x,choose_pile.y,choose_pile.leftButton,choose_pile.midButton,choose_pile.rightButton,choose_pile.time,choose_pile.clicked_name,choices.thisRepN,choices.thisTrialN,choices.thisN,choices.thisIndex,choices.ran,card_to_show,mouse_pick.x,mouse_pick.y,mouse_pick.leftButton,mouse_pick.midButton,mouse_pick.rightButton,mouse_pick.time,mouse_pick.clicked_name,key_instr_study.keys,key_instr_test.keys,learn_loop.thisRepN,learn_loop.thisTrialN,learn_loop.thisN,learn_loop.thisIndex,learn_loop.ran,instr_movie_key.keys,instr_movie_key.rt,return_to_exp.keys,return_to_exp.rt,instr_assess_key.keys,instr_assess_key.rt,test_response.resp,test_response.eval,duration,assess_loop.thisRepN,assess_loop.thisTrialN,assess_loop.thisN,assess_loop.thisIndex,assess_loop.ran
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.128244358,-0.1721875,1,0,0,0.545885,unsorted_card,28,0,28,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.405251736,-0.470651042,1,0,0,0.53172,done_pile,29,0,29,0,1,MANURE - SAMADI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.063812934,-0.164340278,1,0,0,0.546555,done_pile,30,0,30,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.153884549,-0.057317708,1,0,0,0.516135,unsorted_card,31,0,31,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.437489149,-0.704730903,1,0,0,0.58136,done_pile,32,0,32,0,1,AGENT - WAKILI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.273101128,0.092456597,1,0,0,1.03115,unsorted_card,33,0,33,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.469010417,-0.642708333,1,0,0,0.6808,done_pile,34,0,34,0,1,BRIBE - RUSHWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.175146484,-0.118663194,1,0,0,0.54819,unsorted_card,35,0,35,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.384787326,-0.535234375,1,0,0,0.51378,done_pile,36,0,36,0,1,ORPHAN - YATIMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.087006293,-0.067404514,1,0,0,0.56073,unsorted_card,37,0,37,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.417529297,-0.549279514,1,0,0,0.56527,done_pile,38,0,38,0,1,DIVORCE - TALAKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.251584201,0.010321181,1,0,0,0.56399,unsorted_card,39,0,39,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.467789714,-0.533307292,1,0,0,0.51472,done_pile,40,0,40,0,1,BOAT - MASHUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.119992405,-0.12921875,1,0,0,0.54768,unsorted_card,41,0,41,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.487152778,-0.606944444,1,0,0,0.596615,done_pile,42,0,42,0,1,TREASURE - DAFINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,KABURI,GRAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,7.56255,return,2.888565,return,7.72721,KABURI,correct,211.988195,0,0,0,12,1
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,NAFAKA,CORN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAHINDI,incorrect,24.747635,0,1,1,7,1
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,YAMINI,OATH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KIAPO,incorrect,24.07987,0,2,2,6,1
